"","patient","sample","time","region","distance","degree_density","modularity","time_dist","time_pat"
"1","P1","pP1","P","reg001",50,0.619047619047619,0.0877795960181055,"P.50","P.P1"
"2","P1","pP1","P","reg001",100,0.523809523809524,0.142536489662055,"P.100","P.P1"
"3","P1","pP1","P","reg002",50,0.714285714285714,0.0631529002573449,"P.50","P.P1"
"4","P1","pP1","P","reg002",100,0.571428571428571,0.111807709865786,"P.100","P.P1"
"5","P1","pP1","P","reg003",50,0.761904761904762,-3.81283758313185e-16,"P.50","P.P1"
"6","P1","pP1","P","reg003",100,0.761904761904762,-6.72087139715129e-16,"P.100","P.P1"
"7","P1","pP1","P","reg004",50,0.428571428571429,0.367121685456961,"P.50","P.P1"
"8","P1","pP1","P","reg004",100,0.428571428571429,0.375899471755158,"P.100","P.P1"
"9","P1","pP1","P","reg005",50,0.333333333333333,0.292405629321052,"P.50","P.P1"
"10","P1","pP1","P","reg005",100,0.380952380952381,0.271569368425878,"P.100","P.P1"
"11","P1","pP1","P","reg006",50,0.619047619047619,0.083277850105718,"P.50","P.P1"
"12","P1","pP1","P","reg006",100,0.619047619047619,0.08661345320721,"P.100","P.P1"
"13","P1","pP1","P","reg007",50,0.523809523809524,2.39891980311579e-16,"P.50","P.P1"
"14","P1","pP1","P","reg007",100,0.571428571428571,0.0615736617997723,"P.100","P.P1"
"15","P1","pP1","P","reg008",50,0.285714285714286,0.170829291576512,"P.50","P.P1"
"16","P1","pP1","P","reg008",100,0.380952380952381,0.105668710497944,"P.100","P.P1"
"17","P1","pP1","P","reg010",50,0.619047619047619,0.166103408681296,"P.50","P.P1"
"18","P1","pP1","P","reg010",100,0.571428571428571,0.168697133227672,"P.100","P.P1"
"19","P2","pP2","P","reg001",50,0.666666666666667,0.014823988752939,"P.50","P.P2"
"20","P2","pP2","P","reg001",100,0.714285714285714,-5.27323060686287e-16,"P.100","P.P2"
"21","P2","pP2","P","reg005",50,0.952380952380952,-5.51766824802006e-16,"P.50","P.P2"
"22","P2","pP2","P","reg005",100,0.952380952380952,0,"P.100","P.P2"
"23","P2","pP2","P","reg006",50,0.904761904761905,0,"P.50","P.P2"
"24","P2","pP2","P","reg006",100,0.904761904761905,0,"P.100","P.P2"
"25","P2","pP2","P","reg007",50,0.619047619047619,0.0551237253274577,"P.50","P.P2"
"26","P2","pP2","P","reg007",100,0.571428571428571,1.12542333155722e-16,"P.100","P.P2"
"27","P3","pP3","P","reg001",50,0.666666666666667,0.155483974622709,"P.50","P.P3"
"28","P3","pP3","P","reg001",100,0.619047619047619,0.104938275158425,"P.100","P.P3"
"29","P3","pP3","P","reg002",50,0.380952380952381,0.120171184417671,"P.50","P.P3"
"30","P3","pP3","P","reg002",100,0.285714285714286,0.199792014880976,"P.100","P.P3"
"31","P3","pP3","P","reg003",50,0.476190476190476,0.0296325718028204,"P.50","P.P3"
"32","P3","pP3","P","reg003",100,0.476190476190476,0.0312732839815068,"P.100","P.P3"
"33","P3","pP3","P","reg004",50,0.428571428571429,0.167491491284353,"P.50","P.P3"
"34","P3","pP3","P","reg004",100,0.380952380952381,0.229555733039634,"P.100","P.P3"
"35","P3","pP3","P","reg006",50,0.571428571428571,0.206203424526843,"P.50","P.P3"
"36","P3","pP3","P","reg006",100,0.523809523809524,0.246119344742866,"P.100","P.P3"
"37","P3","pP3","P","reg007",50,0.619047619047619,0.0906575113051504,"P.50","P.P3"
"38","P3","pP3","P","reg007",100,0.523809523809524,0.108316636483514,"P.100","P.P3"
"39","P3","pP3","P","reg008",50,0.571428571428571,0.024837685749469,"P.50","P.P3"
"40","P3","pP3","P","reg008",100,0.523809523809524,0.0319941941292045,"P.100","P.P3"
"41","P3","pP3","P","reg009",50,0.619047619047619,0.0627952095626318,"P.50","P.P3"
"42","P3","pP3","P","reg009",100,0.428571428571429,0.126079456926843,"P.100","P.P3"
"43","P4","pP4","P","reg001",50,0.523809523809524,0.177300109944435,"P.50","P.P4"
"44","P4","pP4","P","reg001",100,0.523809523809524,0.168551243551961,"P.100","P.P4"
"45","P4","pP4","P","reg002",50,0.809523809523809,-6.12998830086228e-16,"P.50","P.P4"
"46","P4","pP4","P","reg002",100,0.809523809523809,-2.37372572263081e-16,"P.100","P.P4"
"47","P4","pP4","P","reg003",50,0.666666666666667,0.13168627736801,"P.50","P.P4"
"48","P4","pP4","P","reg003",100,0.714285714285714,0.10970612357876,"P.100","P.P4"
