"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"1","primary","agnostic","IWP05-reg001","Tumor",0.634722401967128,0.698487558952675,0.841035754094144,0.432092555331992,0.841035754094144,0.634722401967128,0.723457609617583,0.715363606906448,0.454057306855529,0.539878720548072,0.666604980459902
"2","primary","agnostic","IWP05-reg002","Tumor",0.741050712628439,0.61047780742178,0.649880095923261,0.707287373548145,0.649880095923261,0.741050712628439,0.692477447829958,0.493841306215984,0.365961451896714,0.563121496091992,0.67576426002511
"3","primary","agnostic","IWP05-reg003","Tumor",0.716688755224794,0.625955146921787,0.700164334445496,0.644492772163234,0.700164334445496,0.716688755224794,0.708330184639412,0.549293014139717,0.393672126557469,0.562256754864903,0.67132195107329
"4","primary","agnostic","IWP05-reg004","Tumor",0.815807474659536,0.672612601133975,0.718534341110746,0.780917159763314,0.718534341110746,0.815807474659536,0.764087480707068,0.506041915790799,0.412832777393165,0.574548429731261,0.744210037896755
"5","primary","agnostic","IWP05-reg005","Tumor",0.853902140997716,0.732281205164993,0.775050631690616,0.822695035460993,0.775050631690616,0.853902140997716,0.812567933065393,0.519283822555727,0.443417567865813,0.572114323548885,0.793091673081354
"6","primary","agnostic","IWP05-reg006","Tumor",0.682273382358376,0.797326330866555,0.878772013326987,0.538188849500483,0.878772013326987,0.682273382358376,0.768155436749808,0.682875744423135,0.465907943878066,0.530180680327041,0.739799856612465
"7","primary","agnostic","IWP05-reg007","Tumor",0.762083660423909,0.816787347560976,0.876047441021013,0.668929463171036,0.876047441021013,0.762083660423909,0.815101355403622,0.629509354041652,0.479738792799153,0.547617366749029,0.789435503992443
"8","primary","agnostic","IWP05-reg008","Tumor",0.898991070393135,0.656506610995129,0.676794133053955,0.890391996476436,0.676794133053955,0.898991070393135,0.772226926333616,0.444473080590706,0.399577330481173,0.590397154712507,0.777748840694132
"9","primary","agnostic","IWP05-reg010","Tumor",0.74671827667452,0.669169510807736,0.753182821252758,0.661493477282951,0.753182821252758,0.74671827667452,0.7499366179329,0.574828286736964,0.429234787655993,0.569894553545516,0.707943893741128
"10","primary","agnostic","IWP06-reg001","Tumor",0.633438818565401,0.645916398713826,0.723566623154935,0.546344647519582,0.723566623154935,0.633438818565401,0.675509725802672,0.594015978277897,0.376272779489322,0.520025063965328,0.639677608639614
"11","primary","agnostic","IWP06-reg005","Tumor",0.635855263157895,0.65198983911939,0.668395573997234,0.618757892320055,0.668395573997234,0.635855263157895,0.651719487525287,0.52452982113073,0.333525047449244,0.498993500891471,0.643922551138643
"12","primary","agnostic","IWP06-reg006","Tumor",0.642408233901084,0.66564631799895,0.648492092681133,0.659703562451244,0.648492092681133,0.642408233901084,0.645435827041867,0.489849640833445,0.314683442644894,0.485254093606389,0.654027275950017
"13","primary","agnostic","IWP06-reg007","Tumor",0.798471700556923,0.704302382109869,0.717027215631542,0.788328118623317,0.717027215631542,0.798471700556923,0.755561002512409,0.484105586557151,0.386544610947395,0.539093360085272,0.751387041333396
"14","primary","agnostic","IWP07-reg001","Tumor",0.70676451818762,0.514658513948791,0.19945970283656,0.911173400347961,0.19945970283656,0.70676451818762,0.311117353746752,0.146100414899072,0.103258589343154,0.51769148291455,0.610711516068205
"15","primary","agnostic","IWP07-reg002","Tumor",0.811670160726764,0.625170377101318,0.413124666548106,0.910805891113685,0.413124666548106,0.811670160726764,0.547554507955215,0.245328304474541,0.199125664323676,0.481998971369793,0.718420268914041
"16","primary","agnostic","IWP07-reg003","Tumor",0.617240215924426,0.560249837958871,0.328987592159684,0.80733633353146,0.328987592159683,0.617240215924426,0.429208211143695,0.258875933446875,0.159788637058387,0.485698065417704,0.588745026941649
"17","primary","agnostic","IWP07-reg004","Tumor",0.560113421550094,0.517736104835065,0.40970685840708,0.663241678726483,0.40970685840708,0.560113421550094,0.473247085130171,0.37406307452977,0.209517748550417,0.511384528355254,0.53892476319258
"18","primary","agnostic","IWP07-reg006","Tumor",0.579735682819383,0.550453720508167,0.650289425384724,0.475988700564972,0.650289425384724,0.579735682819383,0.61298908703753,0.590486807878112,0.342326272761055,0.526421404682274,0.565094701663775
"19","primary","agnostic","IWP07-reg007","Tumor",0.718154761904762,0.569748967270416,0.416177992411176,0.825582466157105,0.416177992411176,0.718154761904762,0.526970954356846,0.299265197060788,0.214918726341572,0.516410598975729,0.643951864587589
"20","primary","agnostic","IWP07-reg009","Tumor",0.636711972238288,0.604877258365065,0.643598363051739,0.597710351453046,0.643598363051739,0.636711972238288,0.640136647768571,0.528443170964661,0.336466093600764,0.522788920725883,0.620794615301677
"21","primary","agnostic","IWP08-reg001","Tumor",0.988630211153221,0.745236760997478,0.33424858136555,0.998030018761726,0.33424858136555,0.988630211153221,0.499589603283174,0.114556844259753,0.113254357129566,0.338832723438566,0.86693348607535
"22","primary","agnostic","IWP08-reg002","Tumor",0.853860880663689,0.614586105935587,0.235480464625132,0.967998882057015,0.235480464625132,0.853860880663689,0.369154366119465,0.122059510827232,0.104221841408319,0.442592304097211,0.734223493299638
"23","primary","agnostic","IWP08-reg003","Tumor",0.901907356948229,0.627687194931976,0.155874735107134,0.988227599738391,0.155874735107134,0.901907356948229,0.265810078297531,0.0708289105471389,0.0638811155070925,0.409823410209399,0.764797275940103
"24","primary","agnostic","IWP08-reg004","Tumor",0.868725868725869,0.595037904893177,0.0711349984192222,0.992185704435762,0.0711349984192223,0.868725868725869,0.131502045587376,0.0344689912163961,0.029944104338568,0.42094756454618,0.731881886809523
"25","primary","agnostic","IWP08-reg006","Tumor",0.967239527389903,0.77163564018758,0.528462441314554,0.988890912402113,0.528462441314554,0.967239527389903,0.683491461100569,0.209236992920553,0.20238229014496,0.382964378020002,0.869437583788742
"26","primary","agnostic","IWP08-reg007","Tumor",0.925642181162686,0.7923979040173,0.766990291262136,0.935211544124865,0.766990291262136,0.925642181162686,0.838880947518889,0.424709316235227,0.393128857840088,0.512560409588976,0.859020042589993
"27","primary","agnostic","IWP08-reg008","Tumor",0.803967576791809,0.820053475935829,0.84849167041873,0.769443050677371,0.84849167041873,0.803967576791809,0.825629791894852,0.556241101091599,0.447199810156621,0.527052681537731,0.812010526363819
"28","primary","agnostic","IWP08-reg009","Tumor",0.799653656587185,0.765101772816809,0.807506053268765,0.756042173560422,0.807506053268765,0.799653656587185,0.803560671976441,0.552025884256195,0.441429516876241,0.546657842488418,0.782377714701997
"29","primary","agnostic","IWP09-reg002","Tumor",0.815078442765834,0.689157435381,0.858344806486156,0.617257967528563,0.858344806486156,0.815078442765834,0.836152298636465,0.69796208050289,0.568893845685897,0.662780087194565,0.752117939073417
"30","primary","agnostic","IWP09-reg003","Tumor",0.805920938465276,0.640927563949319,0.755621359539228,0.705637732273517,0.755621359539227,0.805920938465276,0.779961037216176,0.579412001287001,0.466960263835264,0.617981821106821,0.723424251207297
"31","primary","agnostic","IWP09-reg004","Tumor",0.793943178270372,0.620467763890608,0.768335977037541,0.655082309903319,0.768335977037541,0.793943178270372,0.780929714790219,0.613219738668454,0.486861628296559,0.633657205762696,0.70720547108049
"32","primary","agnostic","IWP09-reg005","Tumor",0.855876518720555,0.618323191345504,0.709798478305573,0.797297297297297,0.709798478305573,0.855876518720555,0.776022931654676,0.521699760688183,0.446510574995149,0.629066683914365,0.73709985503303
"33","primary","agnostic","IWP09-reg006","Tumor",0.792473215089583,0.65532242964921,0.808388183070565,0.632474089821951,0.808388183070565,0.792473215089583,0.800351589731155,0.647261072261072,0.512937062937063,0.63451825951826,0.723897822369396
"34","primary","agnostic","IWP10-reg001","Tumor",0.899280575539568,0.746660922016372,0.840099452235733,0.833573833573834,0.840099452235733,0.899280575539568,0.868683216839399,0.596788603762347,0.536680399066859,0.638829602422197,0.82297074877797
"35","primary","agnostic","IWP10-reg002","Tumor",0.903321033210332,0.756747031306225,0.824797843665768,0.860615485349484,0.824797843665768,0.903321033210332,0.862275449101796,0.559028879720724,0.504982545223739,0.612250079339892,0.830034032258279
"36","primary","agnostic","IWP10-reg003","Tumor",0.868545100124048,0.765587072612525,0.878792225489493,0.74850827230811,0.878792225489493,0.868545100124048,0.87363861606745,0.661795749870995,0.574799455833372,0.654078904160998,0.817066086368286
"37","primary","agnostic","IWP10-reg004","Tumor",0.876829127779698,0.778648262140148,0.865100416824555,0.796122059758423,0.865100416824555,0.876829127779698,0.870925286588971,0.618162393162393,0.542022792022792,0.626543209876543,0.827738694959923
"38","primary","agnostic","IWP10-reg005","Tumor",0.892974297970513,0.777480191942864,0.861335187760779,0.824350706975093,0.861335187760779,0.892974297970513,0.876869435939187,0.607515931936141,0.542496112826577,0.629831592317631,0.835227244956688
"39","primary","agnostic","IWP10-reg006","Tumor",0.883379522133174,0.784289198824192,0.872434071827496,0.801073208125719,0.872434071827496,0.883379522133174,0.877872680920747,0.625471410836008,0.552528636012274,0.633318498044084,0.833834360478683
"40","primary","agnostic","IWP10-reg007","Tumor",0.86382645060115,0.778061224489796,0.926808749298934,0.637186629526462,0.926808749298934,0.86382645060115,0.894209956709957,0.764894042383047,0.660735705717713,0.712914834066373,0.820943837545473
"41","primary","agnostic","IWP11-reg003","Tumor",0.715282181357007,0.697373503283121,0.715865820489574,0.696767969126869,0.715865820489574,0.715282181357007,0.71557388191581,0.515961673288151,0.36905819116616,0.515541014255667,0.706327842320064
"42","primary","agnostic","IWP11-reg004","Tumor",0.76328090221101,0.771815718157182,0.907186948853615,0.527368343085697,0.907186948853616,0.76328090221101,0.829035377548553,0.745031922832426,0.568668638235538,0.626848345816865,0.767548310184096
"43","primary","agnostic","IWP11-reg005","Tumor",0.850368862884762,0.704462253883447,0.848383330795391,0.707683132889375,0.848383330795391,0.850368862884762,0.849374936477284,0.660405886701163,0.561588602916471,0.661951481755258,0.777415558384105
"44","primary","agnostic","IWP11-reg006","Tumor",0.769927536231884,0.608678343949045,0.463720676486634,0.857543466068424,0.463720676486634,0.769927536231884,0.578821927136534,0.305309734513274,0.235066371681416,0.506913716814159,0.689302940090464
"45","recurrent","agnostic","IWR05-reg001","Tumor",0.805278700627538,0.563215918257596,0.349459351221466,0.908483691880638,0.349459351221466,0.805278700627538,0.487404345640395,0.225627784949819,0.18169324948986,0.519926706367384,0.684247309442567
"46","recurrent","agnostic","IWR05-reg002","Tumor",0.824507306609465,0.613659721573391,0.426490984743412,0.909380408445829,0.426490984743412,0.824507306609465,0.562182915124092,0.258409838905249,0.213060800277152,0.499566949592933,0.719083514091428
"47","recurrent","agnostic","IWR05-reg003","Tumor",0.727459339965261,0.776107594936709,0.890585733616857,0.531995661605206,0.890585733616857,0.727459339965261,0.800799582826352,0.71470488658165,0.519918745062634,0.583794154158673,0.751783467450985
"48","recurrent","agnostic","IWR05-reg004","Tumor",0.8041217380208,0.646812350931477,0.696991483243004,0.765720390720391,0.696991483243004,0.8041217380208,0.746733817212265,0.502565253639454,0.404123645225422,0.5798114538575,0.725467044476138
"49","recurrent","agnostic","IWR05-reg005","Tumor",0.785090042372881,0.581037661311562,0.42706907728877,0.871740161213845,0.42706907728877,0.785090042372881,0.553207371121997,0.28458378867242,0.223423898707465,0.52315634774089,0.683063851842222
"50","recurrent","agnostic","IWR05-reg006","Tumor",0.822928279450019,0.635309873464487,0.528678006565204,0.878311945348911,0.528678006565204,0.822928279450019,0.643773392928522,0.332037756801777,0.27324325991733,0.516842494910235,0.729119076457253
"51","recurrent","agnostic","IWR05-reg007","Tumor",0.841116173120729,0.560405300077942,0.466077627011676,0.885467980295567,0.466077627011676,0.841116173120729,0.599796954314721,0.313291703835861,0.263514719000892,0.565388046387154,0.700760736599336
"52","recurrent","agnostic","IWR05-reg008","Tumor",0.795778815175225,0.631432274789371,0.680326025857223,0.758269126002024,0.680326025857223,0.795778815175225,0.733537379920604,0.49639348542707,0.395019419693854,0.580632527171252,0.713605544982298
"53","recurrent","agnostic","IWR05-reg009","Tumor",0.808526909473282,0.657363049364716,0.719952332311883,0.759110042092604,0.719952332311883,0.808526909473282,0.761673195551353,0.521407566166575,0.421572048048647,0.58555550017445,0.732944979418999
"54","recurrent","agnostic","IWR06-reg001","Tumor",0.657052548399842,0.534989778267023,0.35995670995671,0.79672131147541,0.35995670995671,0.657052548399842,0.465109774856663,0.284701912260967,0.187064116985377,0.519685039370079,0.596021163333432
"55","recurrent","agnostic","IWR06-reg002","Tumor",0.904257666004853,0.762736893920748,0.809599051945487,0.877158222473818,0.809599051945487,0.904257666004853,0.85431429762401,0.527338296882271,0.476849697533737,0.588994881340158,0.833497279962801
"56","recurrent","agnostic","IWR06-reg003","Tumor",0.717367775452774,0.792373540856031,0.881695636750621,0.565164298401421,0.881695636750621,0.717367775452774,0.7910881241297,0.683247880102544,0.490140011831986,0.55590613291264,0.754870658154403
"57","recurrent","agnostic","IWR06-reg004","Tumor",0.641052631578947,0.724777835859906,0.801918735891648,0.537403100775194,0.801918735891648,0.641052631578947,0.712518803275948,0.634784268804887,0.406930126002291,0.507445589919817,0.682915233719427
"58","recurrent","agnostic","IWR06-reg005","Tumor",0.678335970464135,0.863306676585457,0.933327285921626,0.487553828379372,0.933327285921626,0.678335970464135,0.785659743433109,0.738281820394256,0.500803115113166,0.53657824288148,0.770821323524796
