"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"1","primary","aware","IWP05-reg001","Tumor",0.510676847418144,0.771832818344446,0.849058633674018,0.385602859928502,0.849058633674018,0.510676847418144,0.637763141945129,0.715363606906448,0.365319631532658,0.430264315141416,0.641254832881295
"2","primary","aware","IWP05-reg002","Tumor",0.77485913158767,0.687363570215862,0.707444394008171,0.757821552723059,0.707444394008171,0.77485913158767,0.739618761369928,0.493841306215984,0.382657445676638,0.540901092605475,0.731111350901766
"3","primary","aware","IWP05-reg003","Tumor",0.707156692833112,0.719637199478164,0.754541498966605,0.668474811010445,0.754541498966605,0.707156692833112,0.730081044100621,0.549293014139717,0.388436231275374,0.514797704045919,0.713396946155638
"4","primary","aware","IWP05-reg004","Tumor",0.757664324357938,0.709689749633688,0.727794038587898,0.740839263150894,0.727794038587898,0.757664324357938,0.74242885869234,0.506041915790799,0.383409906224432,0.526811001321669,0.733677036995813
"5","primary","aware","IWP05-reg005","Tumor",0.799288104977953,0.864791965566714,0.864605482443538,0.799543693956598,0.864605482443538,0.799288104977953,0.830664752650177,0.519283822555727,0.415057382476275,0.480054071948797,0.832040035272334
"6","primary","aware","IWP05-reg006","Tumor",0.591885000554303,0.826291079812207,0.880054945054945,0.484599589322382,0.880054945054945,0.591885000554303,0.707761649101876,0.682875744423135,0.404183910366408,0.459271222368023,0.709088040183255
"7","primary","aware","IWP05-reg007","Tumor",0.689693843220814,0.871189024390244,0.900966891297978,0.622973157105873,0.900966891297978,0.689693843220814,0.781299625230261,0.629509354041652,0.434168725732439,0.481891987292623,0.780441433805529
"8","primary","aware","IWP05-reg008","Tumor",0.912037573930187,0.734678728833217,0.733355091383812,0.912579957356077,0.733355091383812,0.912037573930187,0.812994262676384,0.444473080590706,0.405376150099224,0.552769258524265,0.823358151381702
"9","primary","aware","IWP05-reg010","Tumor",0.64792998990239,0.749260523321957,0.777463651050081,0.611513463324048,0.777463651050081,0.64792998990239,0.706811088672664,0.574828286736964,0.372448486021089,0.47905581890297,0.698595256612173
"10","primary","aware","IWP06-reg001","Tumor",0.6832805907173,0.625337620578778,0.727400336889388,0.57436503248671,0.727400336889388,0.6832805907173,0.704650530323633,0.594015978277897,0.405879588533236,0.557986528118636,0.654309105648039
"11","primary","aware","IWP06-reg005","Tumor",0.639802631578947,0.679811297931535,0.687927375618958,0.631106120157215,0.687927375618958,0.639802631578947,0.662992841722531,0.52452982113073,0.335595559901076,0.487835739345488,0.659806964755241
"12","primary","aware","IWP06-reg006","Tumor",0.621459149284999,0.68926010145181,0.657575173477255,0.654731245326909,0.657575173477255,0.621459149284999,0.639007258253336,0.489849640833445,0.304421541069915,0.462945611921653,0.655359625368405
"13","primary","aware","IWP06-reg007","Tumor",0.806631265380132,0.724781234807973,0.733352958492788,0.799772010997117,0.733352958492788,0.806631265380132,0.768248681654177,0.484105586557151,0.390494701862186,0.532478525299392,0.765706250094052
"14","primary","aware","IWP07-reg001","Tumor",0.765475430759413,0.445869956870667,0.19117061120408,0.917434284430465,0.19117061120408,0.765475430759413,0.30593636421603,0.146100414899072,0.111836278028996,0.585007691949093,0.60567269381504
"15","primary","aware","IWP07-reg002","Tumor",0.80398322851153,0.584847796456156,0.386333109469443,0.901751313485114,0.386333109469443,0.80398322851153,0.52188704921751,0.245328304474541,0.197239842276702,0.510543459626264,0.694415512483843
"16","primary","aware","IWP07-reg003","Tumor",0.608468286099865,0.573861292793589,0.332779776732171,0.807545605306799,0.332779776732171,0.608468286099865,0.430249895628318,0.258875933446875,0.157517795536923,0.47333944713743,0.591164789446727
"17","primary","aware","IWP07-reg004","Tumor",0.651417769376181,0.55450745594216,0.46633737059341,0.726915957052943,0.46633737059341,0.651417769376181,0.543554556567688,0.37406307452977,0.243671333616179,0.522521566963654,0.602962612659171
"18","primary","aware","IWP07-reg006","Tumor",0.56903713027061,0.584573502722323,0.663876651982379,0.484725357411588,0.663876651982379,0.56903713027061,0.612809217214504,0.590486807878112,0.336008918617614,0.50613154960981,0.576805316496467
"19","primary","aware","IWP07-reg007","Tumor",0.680357142857143,0.567715284397839,0.40196940390364,0.806154679180579,0.40196940390364,0.680357142857143,0.505360893113739,0.299265197060788,0.203607214428858,0.506524159429971,0.624036213627491
"20","primary","aware","IWP07-reg009","Tumor",0.542437825332562,0.72607955926436,0.6893605292172,0.586096396573147,0.6893605292172,0.542437825332562,0.607137077196957,0.528443170964661,0.286647564469914,0.415816618911175,0.634258692298461
"21","primary","aware","IWP08-reg001","Tumor",0.94369247428262,0.827192490893808,0.414014251781473,0.991270041131537,0.414014251781473,0.94369247428262,0.575532441802873,0.114556844259753,0.108106431805495,0.261117658004094,0.885442482588214
"22","primary","aware","IWP08-reg002","Tumor",0.861518825781749,0.720521692840032,0.3,0.973974574238426,0.3,0.861518825781749,0.445030492830064,0.122059510827232,0.105156566443371,0.350521888144571,0.79102025931089
"23","primary","aware","IWP08-reg003","Tumor",0.892370572207084,0.72987849205525,0.201167076167076,0.98888419867736,0.201167076167076,0.892370572207084,0.328320802005013,0.0708289105471389,0.0632056354337547,0.314194731255428,0.811124532131167
"24","primary","aware","IWP08-reg004","Tumor",0.853281853281853,0.668090971743625,0.0840623811335108,0.992221084953941,0.0840623811335108,0.853281853281853,0.153047091412742,0.0344689912163961,0.0294117647058824,0.349880223582646,0.760686412512739
"25","primary","aware","IWP08-reg006","Tumor",0.951396348012889,0.829472786698877,0.596163553760727,0.984732180514551,0.596163553760727,0.951396348012889,0.733009206579084,0.209236992920553,0.199067310933813,0.333913922912687,0.890434567355883
"26","primary","aware","IWP08-reg007","Tumor",0.947724200090131,0.807452382932712,0.784189428544793,0.954384585135666,0.784189428544794,0.947724200090131,0.858235984288119,0.424709316235227,0.402507296999856,0.513278147279774,0.877588291511421
"27","primary","aware","IWP08-reg008","Tumor",0.857935153583618,0.897326203208556,0.912846118928734,0.834410740924913,0.912846118928734,0.857935153583618,0.884539256652738,0.556241101091599,0.477218794494542,0.522781205505458,0.877630678396087
"28","primary","aware","IWP08-reg009","Tumor",0.858665245770614,0.753939592908733,0.811327879169289,0.812345242306332,0.811327879169289,0.858665245770614,0.83432565363707,0.552025884256195,0.474005441576587,0.584234134862858,0.806302419339674
"29","primary","aware","IWP09-reg002","Tumor",0.778326554328879,0.684122188653911,0.850611208128274,0.571829405162739,0.850611208128274,0.778326554328879,0.812865053477964,0.69796208050289,0.543242421170029,0.638649498124303,0.731224371491395
"30","primary","aware","IWP09-reg003","Tumor",0.742407940860028,0.704996414056897,0.776132941475273,0.665177967248613,0.776132941475273,0.742407940860028,0.758895944939156,0.579412001287001,0.430160070785071,0.554235038610039,0.723702177458463
"31","primary","aware","IWP09-reg004","Tumor",0.769356852950359,0.579631233758198,0.743700015089784,0.613169262992538,0.743700015089784,0.769356852950359,0.756310903092151,0.613219738668454,0.471784808309003,0.634375149571627,0.674494043354279
"32","primary","aware","IWP09-reg005","Tumor",0.835916191420779,0.669641649763354,0.734037341462087,0.789100470082065,0.734037341462087,0.835916191420779,0.78167115902965,0.521699760688183,0.436097277019598,0.594107754996443,0.752778920592066
"33","primary","aware","IWP09-reg006","Tumor",0.805377989856247,0.666060906437579,0.815683890577508,0.650968783638321,0.815683890577508,0.805377989856247,0.810498180335543,0.647261072261072,0.521289821289821,0.639083139083139,0.735719448146913
"34","primary","aware","IWP10-reg001","Tumor",0.871002619869422,0.834307872222564,0.8861107585565,0.813771987752897,0.8861107585565,0.871002619869422,0.878491737270363,0.596788603762347,0.519804437385219,0.586613391571946,0.852655246045993
"35","primary","aware","IWP10-reg002","Tumor",0.875106443372126,0.817776178481468,0.858917925001393,0.83779399837794,0.858917925001393,0.875106443372126,0.866936617738035,0.559028879720724,0.489209774674706,0.569565217391304,0.846441310926797
"36","primary","aware","IWP10-reg003","Tumor",0.861244019138756,0.838130244815868,0.912367650371705,0.7553125,0.912367650371705,0.861244019138756,0.886069025871028,0.661795749870995,0.569967631467843,0.624712670638458,0.849687131977312
